brand_ko,brand_en,category,sub_category,approval_required,approval_note,china_priority,global_priority,proposal_allowed,notes
라곰,,cosmetics,unknown,false,,unknown,unknown,true,
k-secret,,cosmetics,unknown,false,,unknown,unknown,true,
메디큐브,,cosmetics,unknown,true,requires director approval before external posting/proposal,unknown,unknown,false,requires director approval before external posting/proposal
vt,,cosmetics,unknown,false,,unknown,unknown,true,
에이프릴스킨,,cosmetics,unknown,false,,unknown,unknown,true,
토리든,,cosmetics,unknown,false,,unknown,unknown,true,
바이오던스,,cosmetics,unknown,false,,unknown,unknown,true,
쥬스투클렌즈,,cosmetics,unknown,false,,unknown,unknown,true,
리쥬란,,cosmetics,unknown,false,,unknown,unknown,true,
바이브랩,,cosmetics,unknown,false,,unknown,unknown,true,
테라로직,,cosmetics,unknown,false,,unknown,unknown,true,
GIK,,cosmetics,unknown,false,,unknown,unknown,true,
올리브영PB 제품,,cosmetics,unknown,false,,unknown,unknown,true,
3CE,,cosmetics,unknown,false,,unknown,unknown,true,
뷰티드라마,,cosmetics,unknown,false,,unknown,unknown,true,
아비브,,cosmetics,unknown,false,,unknown,unknown,true,
스킨1004,,cosmetics,unknown,false,,unknown,unknown,true,
345크림/닥터엘시아,,cosmetics,unknown,false,,unknown,unknown,true,
넘버즈인,,cosmetics,unknown,false,,unknown,unknown,true,
NEEDLY,,cosmetics,unknown,false,,unknown,unknown,true,
토코보,,cosmetics,unknown,false,,unknown,unknown,true,
디오디너리,,cosmetics,unknown,false,,unknown,unknown,true,
가히,,cosmetics,unknown,false,,unknown,unknown,true,
라운드랩,,cosmetics,unknown,false,,unknown,unknown,true,
앰플엔,,cosmetics,unknown,false,,unknown,unknown,true,
에스네이처,,cosmetics,unknown,false,,unknown,unknown,true,
쏘내추럴,,cosmetics,unknown,false,,unknown,unknown,true,
그레이멜린,,cosmetics,unknown,false,,unknown,unknown,true,
아누아,,cosmetics,unknown,false,,unknown,unknown,true,
아렌시아,,cosmetics,unknown,false,,unknown,unknown,true,
아토팜,,cosmetics,unknown,false,,unknown,unknown,true,
클라뷰,,cosmetics,unknown,false,,unknown,unknown,true,
리브이셀,,cosmetics,unknown,false,,unknown,unknown,true,
아로셀,,cosmetics,unknown,false,,unknown,unknown,true,
마미케어,,cosmetics,unknown,false,,unknown,unknown,true,
아로마티카,,cosmetics,unknown,false,,unknown,unknown,true,
조선미녀,,cosmetics,unknown,false,,unknown,unknown,true,
셀리맥스,,cosmetics,unknown,false,,unknown,unknown,true,
낫씨백,,cosmetics,unknown,false,,unknown,unknown,true,
네이처리퍼블릭,,cosmetics,unknown,false,,unknown,unknown,true,
더마픽스,,cosmetics,unknown,false,,unknown,unknown,true,
웰라쥬,,cosmetics,unknown,false,,unknown,unknown,true,
미미박스,,cosmetics,unknown,false,,unknown,unknown,true,
CLIO,,cosmetics,unknown,false,,unknown,unknown,true,
벨라,,cosmetics,unknown,false,,unknown,unknown,true,
결콜라겐,,health,unknown,false,,unknown,unknown,true,
락토핏,,health,unknown,false,,unknown,unknown,true,
비타민마을,,health,unknown,false,,unknown,unknown,true,
뉴트리디데이,,health,unknown,false,,unknown,unknown,true,
네추럴라이즈,,health,unknown,false,,unknown,unknown,true,
