brand_original,category,note
라곰,cosmetics,
k-secret,cosmetics,
메디큐브,cosmetics,requires director approval before external posting/proposal
vt,cosmetics,
에이프릴스킨,cosmetics,
토리든,cosmetics,
바이오던스,cosmetics,
쥬스투클렌즈,cosmetics,
리쥬란,cosmetics,
바이브랩,cosmetics,
테라로직,cosmetics,
GIK,cosmetics,
올리브영PB 제품,cosmetics,
3CE,cosmetics,
뷰티드라마,cosmetics,
아비브,cosmetics,
스킨1004,cosmetics,
345크림/닥터엘시아,cosmetics,
넘버즈인,cosmetics,
NEEDLY,cosmetics,
토코보,cosmetics,
디오디너리,cosmetics,
가히,cosmetics,
라운드랩,cosmetics,
앰플엔,cosmetics,
에스네이처,cosmetics,
쏘내추럴,cosmetics,
그레이멜린,cosmetics,
아누아,cosmetics,
아렌시아,cosmetics,
아토팜,cosmetics,
클라뷰,cosmetics,
리브이셀,cosmetics,
아로셀,cosmetics,
마미케어,cosmetics,
아로마티카,cosmetics,
조선미녀,cosmetics,
셀리맥스,cosmetics,
낫씨백,cosmetics,
네이처리퍼블릭,cosmetics,
더마픽스,cosmetics,
웰라쥬,cosmetics,
미미박스,cosmetics,
CLIO,cosmetics,
벨라,cosmetics,
결콜라겐,health,
락토핏,health,
비타민마을,health,
뉴트리디데이,health,
네추럴라이즈,health,
